Original,POS
Project managers soon realized that no single book could contain the entire PMBOK.,"['NN', 'NNS', 'RB', 'VBD', 'IN', 'DT', 'JJ', 'NN', 'MD', 'VB', 'DT', 'JJ', 'NNP', '.']"
"Therefore, PMI developed and published A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide).","['RB', ',', 'NNP', 'VBD', 'CC', 'VBD', 'NNP', 'NNP', 'TO', 'DT', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', '(', 'NNP', '(', 'NNP', ')', 'NNP', ')', '.']"
PMI defines the project management body of knowledge (PMBOK) as a term that describes the knowledge within the profession of project management.,"['NNP', 'VBZ', 'DT', 'NN', 'NN', 'NN', 'IN', 'NN', '(', 'NNP', ')', 'IN', 'DT', 'NN', 'WDT', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'NN', 'NN', '.']"
The project management body of knowledge includes proven traditional practices that are widely applied as well as innovative practices that are emerging in the profession.,"['DT', 'NN', 'NN', 'NN', 'IN', 'NN', 'VBZ', 'JJ', 'JJ', 'NNS', 'WDT', 'VBP', 'RB', 'VBN', 'RB', 'RB', 'IN', 'JJ', 'NNS', 'WDT', 'VBP', 'VBG', 'IN', 'DT', 'NN', '.']"
The body of knowledge (BOK) includes both published and unpublished materials.,"['DT', 'NN', 'IN', 'NN', '(', 'NNP', ')', 'VBZ', 'CC', 'VBN', 'CC', 'JJ', 'NNS', '.']"
This body of knowledge is constantly evolving.,"['DT', 'NN', 'IN', 'NN', 'VBZ', 'RB', 'VBG', '.']"
This PMBOK(R) Guide identifies a subset of the project management body of knowledge that is generally recognized as good practice.,"['DT', 'NNP', '(', 'NNP', ')', 'NNP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', 'NN', 'IN', 'NN', 'WDT', 'VBZ', 'RB', 'VBN', 'IN', 'JJ', 'NN', '.']"
"Generally recognized means the knowledge and practices described are applicable to most projects most of the uu time, and there is consensus about their value and usefulness.","['RB', 'VBN', 'VBZ', 'DT', 'NN', 'CC', 'NNS', 'VBN', 'VBP', 'JJ', 'TO', 'JJS', 'NNS', 'RBS', 'IN', 'DT', 'JJ', 'NN', ',', 'CC', 'EX', 'VBZ', 'NN', 'IN', 'PRP$', 'NN', 'CC', 'NN', '.']"
"Good practice means there is general agreement that the application of the knowledge, skills, tools, and techniques uu to project management processes can enhance the chance of success over many projects in delivering the expected business values and results.","['JJ', 'NN', 'NNS', 'EX', 'VBZ', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', ',', 'NNS', ',', 'NNS', ',', 'CC', 'NNS', 'VBP', 'TO', 'VB', 'NN', 'NNS', 'MD', 'VB', 'DT', 'NN', 'IN', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'VBG', 'DT', 'JJ', 'NN', 'NNS', 'CC', 'NNS', '.']"
The project manager works with the project team and other stakeholders to determine and use the appropriate generally recognized good practices for each project.,"['DT', 'NN', 'NN', 'VBZ', 'IN', 'DT', 'NN', 'NN', 'CC', 'JJ', 'NNS', 'TO', 'VB', 'CC', 'VB', 'DT', 'JJ', 'RB', 'VBN', 'JJ', 'NNS', 'IN', 'DT', 'NN', '.']"
"Determining the appropriate combination of processes, inputs, tools, techniques, outputs and life cycle phases to manage a project is referred to as ""tailoring"" the application of the knowledge described in this guide.","['VBG', 'DT', 'JJ', 'NN', 'IN', 'NNS', ',', 'NNS', ',', 'NNS', ',', 'NNS', ',', 'NNS', 'CC', 'NN', 'NN', 'VBZ', 'TO', 'VB', 'DT', 'NN', 'VBZ', 'VBN', 'TO', 'IN', '``', 'VBG', ""''"", 'DT', 'NN', 'IN', 'DT', 'NN', 'VBN', 'IN', 'DT', 'NN', '.']"
This PMBOK(R) Guide is different from a methodology.,"['DT', 'NNP', '(', 'NNP', ')', 'NNP', 'VBZ', 'JJ', 'IN', 'DT', 'NN', '.']"
"A methodology is a system of practices, techniques, procedures, and rules used by those who work in a discipline.","['DT', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'NNS', ',', 'NNS', ',', 'NNS', ',', 'CC', 'NNS', 'VBN', 'IN', 'DT', 'WP', 'VBP', 'IN', 'DT', 'NN', '.']"
"This PMBOK(R) Guide is a foundation upon which organizations can build methodologies, policies, procedures, rules, tools and techniques, and life cycle phases needed to practice project management.","['DT', 'NNP', '(', 'NNP', ')', 'NNP', 'VBZ', 'DT', 'NN', 'IN', 'WDT', 'NNS', 'MD', 'VB', 'NNS', ',', 'NNS', ',', 'NNS', ',', 'NNS', ',', 'NNS', 'CC', 'NNS', ',', 'CC', 'NN', 'NN', 'VBZ', 'VBN', 'TO', 'NN', 'NN', 'NN', '.']"
THE STANDARD FOR PROJECT MANAGEMENT This guide is based on The Standard for Project Management [1].,"['DT', 'NNP', 'NNP', 'NNP', 'NNP', 'DT', 'NN', 'VBZ', 'VBN', 'IN', 'DT', 'NNP', 'IN', 'NNP', 'NNP', 'VBD', 'CD', 'NN', '.']"
"A standard is a document established by an authority, custom, or general consent as a model or example.","['DT', 'NN', 'VBZ', 'DT', 'NN', 'VBN', 'IN', 'DT', 'NN', ',', 'NN', ',', 'CC', 'JJ', 'NN', 'IN', 'DT', 'NN', 'CC', 'NN', '.']"
"As an American National Standards Institute (ANSI) standard, The Standard for Project Management was developed using a process based on the concepts of consensus, openness, due process, and balance.","['IN', 'DT', 'JJ', 'NNP', 'NNPS', 'NNP', '(', 'NNP', ')', 'NN', ',', 'DT', 'NNP', 'IN', 'NNP', 'NNP', 'VBD', 'VBN', 'VBG', 'DT', 'NN', 'VBN', 'IN', 'DT', 'NNS', 'IN', 'NN', ',', 'NN', ',', 'JJ', 'NN', ',', 'CC', 'NN', '.']"
The Standard for Project Management is a foundational reference for PMI's project management professional development programs and the practice of project management.,"['DT', 'NNP', 'IN', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'POS', 'NN', 'NN', 'JJ', 'NN', 'NNS', 'CC', 'DT', 'NN', 'IN', 'NN', 'NN', '.']"
"Because project management needs to be tailored to fit the needs of the project, the standard and the guide are both based on descriptive practices, rather than prescriptive practices.","['IN', 'NN', 'NN', 'VBZ', 'TO', 'VB', 'VBN', 'TO', 'VB', 'DT', 'NNS', 'IN', 'DT', 'NN', ',', 'DT', 'NN', 'CC', 'DT', 'NN', 'VBP', 'DT', 'VBN', 'IN', 'JJ', 'NNS', ',', 'RB', 'IN', 'JJ', 'NNS', '.']"
"Therefore, the standard identifies the processes that are considered good practices on most projects, most of the time.","['RB', ',', 'DT', 'JJ', 'VBZ', 'DT', 'NNS', 'WDT', 'VBP', 'VBN', 'JJ', 'NNS', 'IN', 'JJS', 'NNS', ',', 'JJS', 'IN', 'DT', 'NN', '.']"
The standard also identifies the inputs and outputs that are usually associated with those processes.,"['DT', 'NN', 'RB', 'VBZ', 'DT', 'NNS', 'CC', 'NNS', 'WDT', 'VBP', 'RB', 'VBN', 'IN', 'DT', 'NNS', '.']"
The standard does not require that any particular process or practice be performed.,"['DT', 'NN', 'VBZ', 'RB', 'VB', 'IN', 'DT', 'JJ', 'NN', 'CC', 'NN', 'VB', 'VBN', '.']"
The Standard for Project Management is included as Part II of A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide).,"['DT', 'NNP', 'IN', 'NNP', 'NNP', 'VBZ', 'VBN', 'IN', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'TO', 'DT', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', '(', 'NNP', '(', 'NNP', ')', 'NNP', ')', '.']"
"The PMBOK(R) Guide provides more detail about key concepts, emerging trends, considerations for tailoring the project management processes, and information on how tools and techniques are applied to projects.","['DT', 'NNP', '(', 'NNP', ')', 'NNP', 'VBZ', 'JJR', 'NN', 'IN', 'JJ', 'NNS', ',', 'VBG', 'NNS', ',', 'NNS', 'IN', 'VBG', 'DT', 'NN', 'NN', 'VBZ', ',', 'CC', 'NN', 'IN', 'WRB', 'NNS', 'CC', 'NNS', 'VBP', 'VBN', 'TO', 'NNS', '.']"
Project managers may use one or more methodologies to implement the project management processes outlined in the standard.,"['NN', 'NNS', 'MD', 'VB', 'CD', 'CC', 'JJR', 'NNS', 'TO', 'VB', 'DT', 'NN', 'NN', 'NNS', 'VBN', 'IN', 'DT', 'NN', '.']"
"Part 1 - Guide 2 The scope of this guide is limited to the discipline of project management, rather than the full spectrum of portfolios, programs, and projects.","['NN', 'CD', ':', 'NN', 'CD', 'DT', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'VBN', 'TO', 'DT', 'NN', 'IN', 'NN', 'NN', ',', 'RB', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNS', ',', 'NNS', ',', 'CC', 'NNS', '.']"
Portfolios and programs will be addressed only to the degree they interact with projects.,"['NNS', 'CC', 'NNS', 'MD', 'VB', 'VBN', 'RB', 'TO', 'DT', 'NN', 'PRP', 'VBP', 'IN', 'NNS', '.']"
"PMI publishes two other standards that address the management of portfolios and programs: The Standard for Portfolio Management [2], and uu The Standard for Program Management [3].","['NNP', 'NNS', 'CD', 'JJ', 'NNS', 'WDT', 'VBP', 'DT', 'NN', 'IN', 'NNS', 'CC', 'NNS', ':', 'DT', 'NNP', 'IN', 'NNP', 'NNP', 'VBD', 'CD', 'NN', ',', 'CC', 'VBZ', 'DT', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'CD', 'NN', '.']"
COMMON VOCABULARY A common vocabulary is an essential element of a professional discipline.,"['NNP', 'NNP', 'NNP', 'JJ', 'NN', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']"
"The PMI Lexicon of Project Management Terms [4] provides the foundational professional vocabulary that can be consistently used by organizations, portfolio, program, and project managers and other project stakeholders.","['DT', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'NNS', 'VBP', 'CD', 'NNP', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'WDT', 'MD', 'VB', 'RB', 'VBN', 'IN', 'NNS', ',', 'NN', ',', 'NN', ',', 'CC', 'NN', 'NNS', 'CC', 'JJ', 'NN', 'NNS', '.']"
The Lexicon will continue to evolve over time.,"['DT', 'NNP', 'MD', 'VB', 'TO', 'VB', 'IN', 'NN', '.']"
The glossary to this guide includes the vocabulary in the Lexicon along with additional definitions.,"['DT', 'JJ', 'TO', 'DT', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NNP', 'IN', 'IN', 'JJ', 'NNS', '.']"
There may be other industry-specific terms used in projects that are defined by that industry's literature.,"['EX', 'MD', 'VB', 'JJ', 'JJ', 'NNS', 'VBN', 'IN', 'NNS', 'WDT', 'VBP', 'VBN', 'IN', 'DT', 'NN', 'POS', 'NN', '.']"
"CODE OF ETHICS AND PROFESSIONAL CONDUCT PMI publishes the Code of Ethics and Professional Conduct [5] to instill confidence in the project management profession and to help an individual in making wise decisions, particularly when faced with difficult situations where the individual may be asked to compromise his or her integrity or values.","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VBZ', 'DT', 'NNP', 'IN', 'NNP', 'CC', 'NNP', 'NNP', 'NNP', 'CD', 'NN', 'TO', 'VB', 'NN', 'IN', 'DT', 'NN', 'NN', 'NN', 'CC', 'TO', 'VB', 'DT', 'NN', 'IN', 'VBG', 'NN', 'NNS', ',', 'RB', 'WRB', 'VBN', 'IN', 'JJ', 'NNS', 'WRB', 'DT', 'NN', 'MD', 'VB', 'VBN', 'TO', 'VB', 'PRP$', 'CC', 'PRP$', 'NN', 'CC', 'NNS', '.']"
"The values that the global project management community defined as most important were responsibility, respect, fairness, and honesty.","['DT', 'NNS', 'IN', 'DT', 'JJ', 'NN', 'NN', 'NN', 'VBN', 'IN', 'RBS', 'JJ', 'VBD', 'NN', ',', 'NN', ',', 'NN', ',', 'CC', 'NN', '.']"
The Code of Ethics and Professional Conduct affirms these four values as its foundation.,"['DT', 'NNP', 'IN', 'NNP', 'CC', 'NNP', 'NNP', 'VBZ', 'DT', 'CD', 'NNS', 'IN', 'PRP$', 'NN', '.']"
The Code of Ethics and Professional Conduct includes both aspirational standards and mandatory standards.,"['DT', 'NNP', 'IN', 'NNP', 'CC', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NNS', 'CC', 'JJ', 'NNS', '.']"
"The aspirational standards describe the conduct that practitioners, who are also PMI members, certification holders, or volunteers, strive to uphold.","['DT', 'JJ', 'NNS', 'VBZ', 'DT', 'NN', 'WDT', 'NNS', ',', 'WP', 'VBP', 'RB', 'NNP', 'NNS', ',', 'NN', 'NNS', ',', 'CC', 'NNS', ',', 'JJ', 'TO', 'VB', '.']"
"Although adherence to the aspirational standards is not easily measured, conduct in accordance with these is an expectation for those who consider themselves to be professionals--it is not optional.","['IN', 'NN', 'TO', 'DT', 'JJ', 'NNS', 'VBZ', 'RB', 'RB', 'VBN', ',', 'NN', 'IN', 'NN', 'IN', 'DT', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'WP', 'VBP', 'PRP', 'TO', 'VB', 'NNS', ':', 'PRP', 'VBZ', 'RB', 'JJ', '.']"
"The mandatory standards establish firm requirements and, in some cases, limit or prohibit practitioner behavior.","['DT', 'JJ', 'NNS', 'VB', 'NN', 'NNS', 'CC', ',', 'IN', 'DT', 'NNS', ',', 'NN', 'CC', 'NN', 'JJ', 'NN', '.']"
"Practitioners who are also PMI members, certification holders, or volunteers and who do not conduct themselves in accordance with these standards will be subject to disciplinary procedures before PMI's Ethics Review Committee.","['NNS', 'WP', 'VBP', 'RB', 'NNP', 'NNS', ',', 'NN', 'NNS', ',', 'CC', 'NNS', 'CC', 'WP', 'VBP', 'RB', 'VB', 'PRP', 'IN', 'NN', 'IN', 'DT', 'NNS', 'MD', 'VB', 'JJ', 'TO', 'JJ', 'NNS', 'IN', 'NNP', 'POS', 'NNP', 'NNP', 'NNP', '.']"
FOUNDATIONAL ELEMENTS This section describes foundational elements necessary for working in and understanding the discipline of project management.,"['JJ', 'NNP', 'DT', 'NN', 'VBZ', 'JJ', 'NNS', 'JJ', 'IN', 'VBG', 'IN', 'CC', 'VBG', 'DT', 'NN', 'IN', 'NN', 'NN', '.']"
"PROJECTS A project is a temporary endeavor undertaken to create a unique product, service, or result.","['VB', 'DT', 'NN', 'VBZ', 'DT', 'JJ', 'NN', 'NN', 'TO', 'VB', 'DT', 'JJ', 'NN', ',', 'NN', ',', 'CC', 'NN', '.']"
"Unique product, service, or result.","['NNP', 'NN', ',', 'NN', ',', 'CC', 'NN', '.']"
Projects are undertaken to fulfill objectives by producing deliverables.,"['NNS', 'VBP', 'JJ', 'TO', 'VB', 'NNS', 'IN', 'VBG', 'NNS', '.']"
"An objective is defined as an outcome toward which work is to be directed, a strategic position to be attained, a purpose to be achieved, a result to be obtained, a product to be produced, or a service to be performed.","['DT', 'NN', 'VBZ', 'VBN', 'IN', 'DT', 'NN', 'IN', 'WDT', 'NN', 'VBZ', 'TO', 'VB', 'VBN', ',', 'DT', 'JJ', 'NN', 'TO', 'VB', 'VBN', ',', 'DT', 'NN', 'TO', 'VB', 'VBN', ',', 'DT', 'NN', 'TO', 'VB', 'VBN', ',', 'DT', 'NN', 'TO', 'VB', 'VBN', ',', 'CC', 'DT', 'NN', 'TO', 'VB', 'VBN', '.']"
"A deliverable is defined as any unique and verifiable product, result, or capability to perform a service that is required to be produced to complete a process, phase, or project.","['DT', 'JJ', 'VBZ', 'VBN', 'IN', 'DT', 'JJ', 'CC', 'JJ', 'NN', ',', 'NN', ',', 'CC', 'NN', 'TO', 'VB', 'DT', 'NN', 'WDT', 'VBZ', 'VBN', 'TO', 'VB', 'VBN', 'TO', 'VB', 'DT', 'NN', ',', 'NN', ',', 'CC', 'NN', '.']"
Deliverables may be tangible or intangible.,"['NNS', 'MD', 'VB', 'JJ', 'CC', 'JJ', '.']"
"Fulfillment of project objectives may produce one or more of the following deliverables: nuA unique product that can be either a component of another item, an enhancement or correction to an item, or a new end item in itself (e.","['NN', 'IN', 'NN', 'NNS', 'MD', 'VB', 'CD', 'CC', 'JJR', 'IN', 'DT', 'JJ', 'NNS', ':', 'JJ', 'JJ', 'NN', 'WDT', 'MD', 'VB', 'CC', 'DT', 'NN', 'IN', 'DT', 'NN', ',', 'DT', 'NN', 'CC', 'NN', 'TO', 'DT', 'NN', ',', 'CC', 'DT', 'JJ', 'NN', 'NN', 'IN', 'PRP', '(', 'NN', '.']"
Repetitive elements may be present in some project deliverables and activities.,"['JJ', 'NNS', 'MD', 'VB', 'JJ', 'IN', 'DT', 'NN', 'NNS', 'CC', 'NNS', '.']"
This repetition does not change the fundamental and unique characteristics of the project work.,"['DT', 'NN', 'VBZ', 'RB', 'VB', 'DT', 'JJ', 'CC', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'NN', '.']"
"For example, office buildings can be constructed with the same or similar materials and by the same or different teams.","['IN', 'NN', ',', 'NN', 'NNS', 'MD', 'VB', 'VBN', 'IN', 'DT', 'JJ', 'CC', 'JJ', 'NNS', 'CC', 'IN', 'DT', 'JJ', 'CC', 'JJ', 'NNS', '.']"
"However, each building project remains unique in key characteristics (e.","['RB', ',', 'DT', 'NN', 'NN', 'VBZ', 'JJ', 'IN', 'JJ', 'NNS', '(', 'NN', '.']"
Projects are undertaken at all organizational levels.,"['NNS', 'VBP', 'VBN', 'IN', 'DT', 'JJ', 'NNS', '.']"
A project can involve a single individual or a group.,"['DT', 'NN', 'MD', 'VB', 'DT', 'JJ', 'NN', 'CC', 'DT', 'NN', '.']"
A project can involve a single organizational unit or multiple organizational units from multiple organizations.,"['DT', 'NN', 'MD', 'VB', 'DT', 'JJ', 'JJ', 'NN', 'CC', 'JJ', 'JJ', 'NNS', 'IN', 'JJ', 'NNS', '.']"
"Part 1 - Guide 4 Examples of projects include but are not limited to: nuDeveloping a new pharmaceutical compound for market, nuExpanding a tour guide service, nuMerging two organizations, nuImproving a business process within an organization, nuAcquiring and installing a new computer hardware system for use in an organization, nuExploring for oil in a region, nuModifying a computer software program used in an organization, nuConducting research to develop a new manufacturing process, and nuConstructing a building.","['NN', 'CD', ':', 'NNP', 'CD', 'NNP', 'IN', 'NNS', 'VBP', 'CC', 'VBP', 'RB', 'VBN', 'TO', ':', 'VBG', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'NN', ',', 'VBG', 'DT', 'NN', 'NN', 'NN', ',', 'VBG', 'CD', 'NNS', ',', 'VBG', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', ',', 'VBG', 'CC', 'VBG', 'DT', 'JJ', 'NN', 'NN', 'NN', 'IN', 'NN', 'IN', 'DT', 'NN', ',', 'VBG', 'IN', 'NN', 'IN', 'DT', 'NN', ',', 'VBG', 'DT', 'NN', 'NN', 'NN', 'VBN', 'IN', 'DT', 'NN', ',', 'VBG', 'NN', 'TO', 'VB', 'DT', 'JJ', 'NN', 'NN', ',', 'CC', 'VBG', 'DT', 'NN', '.']"
Temporary endeavor.,"['JJ', 'NN', '.']"
The temporary nature of projects indicates that a project has a definite beginning and end.,"['DT', 'JJ', 'NN', 'IN', 'NNS', 'VBZ', 'IN', 'DT', 'NN', 'VBZ', 'DT', 'JJ', 'NN', 'CC', 'NN', '.']"
Temporary does not necessarily mean a project has a short duration.,"['NNP', 'VBZ', 'RB', 'RB', 'VB', 'DT', 'NN', 'VBZ', 'DT', 'JJ', 'NN', '.']"
The end of the project is reached when one or more of the following is true: nuThe project's objectives have been achieved; nuThe objectives will not or cannot be met; nuFunding is exhausted or no longer available for allocation to the project; nuThe need for the project no longer exists (e.,"['DT', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'VBN', 'WRB', 'CD', 'CC', 'JJR', 'IN', 'DT', 'JJ', 'VBZ', 'JJ', ':', 'NN', 'NN', 'POS', 'NNS', 'VBP', 'VBN', 'VBN', ':', 'JJ', 'NNS', 'MD', 'RB', 'CC', 'MD', 'RB', 'VB', 'VBN', ':', 'VBG', 'VBZ', 'VBN', 'CC', 'RB', 'RBR', 'JJ', 'IN', 'NN', 'TO', 'DT', 'NN', ':', 'CC', 'NN', 'IN', 'DT', 'NN', 'RB', 'RBR', 'VBZ', '(', 'NN', '.']"
"Projects are temporary, but their deliverables may exist beyond the end of the project.","['NNS', 'VBP', 'JJ', ',', 'CC', 'PRP$', 'NNS', 'MD', 'VB', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']"
"Projects may produce deliverables of a social, economic, material, or environmental nature.","['NNS', 'MD', 'VB', 'NNS', 'IN', 'DT', 'JJ', ',', 'JJ', ',', 'NN', ',', 'CC', 'JJ', 'NN', '.']"
"For example, a project to build a national monument will create a deliverable expected to last for centuries.","['IN', 'NN', ',', 'DT', 'NN', 'TO', 'VB', 'DT', 'JJ', 'NN', 'MD', 'VB', 'DT', 'JJ', 'VBN', 'TO', 'JJ', 'IN', 'NNS', '.']"
Projects drive change.,"['NNS', 'VBP', 'NN', '.']"
Projects drive change in organizations.,"['NNS', 'VBP', 'NN', 'IN', 'NNS', '.']"
"From a business perspective, a project is aimed uu at moving an organization from one state to another state in order to achieve a specific objective (see Figure 1-1).","['IN', 'DT', 'NN', 'NN', ',', 'DT', 'NN', 'VBZ', 'VBN', 'JJ', 'IN', 'VBG', 'DT', 'NN', 'IN', 'CD', 'NN', 'TO', 'DT', 'NN', 'IN', 'NN', 'TO', 'VB', 'DT', 'JJ', 'NN', '(', 'VB', 'NNP', 'CD', ')', '.']"
"Before the project begins, the organization is commonly referred to as being in the current state.","['IN', 'DT', 'NN', 'VBZ', ',', 'DT', 'NN', 'VBZ', 'RB', 'VBN', 'TO', 'IN', 'VBG', 'IN', 'DT', 'JJ', 'NN', '.']"
The desired result of the change driven by the project is described as the future state.,"['DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'VBN', 'IN', 'DT', 'NN', 'VBZ', 'VBN', 'IN', 'DT', 'NN', 'NN', '.']"
"For some projects, this may involve creating a transition state where multiple steps are made along a continuum to achieve the future state.","['IN', 'DT', 'NNS', ',', 'DT', 'MD', 'VB', 'VBG', 'DT', 'NN', 'NN', 'WRB', 'JJ', 'NNS', 'VBP', 'VBN', 'IN', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', 'NN', '.']"
The successful completion of a project results in the organization moving to the future state and achieving the specific objective.,"['DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'NNS', 'IN', 'DT', 'NN', 'VBG', 'TO', 'DT', 'NN', 'NN', 'CC', 'VBG', 'DT', 'JJ', 'NN', '.']"
"For more information on project management and change, see Managing Change in Organizations: A Practice Guide [6].","['IN', 'JJR', 'NN', 'IN', 'NN', 'NN', 'CC', 'NN', ',', 'VBP', 'VBG', 'NNP', 'IN', 'NNPS', ':', 'DT', 'NNP', 'NNP', 'VBD', 'CD', 'NN', '.']"
Organization Business Value Future State t jec Pro Current State Project Activities * Activity A * Activity B * Activity C * Etc.,"['NN', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', 'NN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', '.']"
Time Figure 1-1.,"['JJ', 'NNP', 'CD', '.']"
Organizational State Transition via a Project Part 1 - Guide 6 Projects enable business value creation.,"['JJ', 'NNP', 'NNP', 'IN', 'DT', 'NNP', 'NNP', 'CD', ':', 'NNP', 'CD', 'NNP', 'JJ', 'NN', 'NN', 'NN', '.']"
PMI defines business value as the net quantifiable benefit derived uu from a business endeavor.,"['NNP', 'VBZ', 'NN', 'NN', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'VBD', 'RB', 'IN', 'DT', 'NN', 'NN', '.']"
"The benefit may be tangible, intangible, or both.","['DT', 'NN', 'MD', 'VB', 'JJ', ',', 'JJ', ',', 'CC', 'DT', '.']"
